id,section,item,source,verbatim_anchor,reviewed,changed,medically_necessary
3.1,"3 · Infection, Circulation & Systemic Status",Free of active infection; underlying osteomyelitis absent or resolved & documented,L35041,"""The ulcer must be free of infection and underlying osteomyelitis with documentation of the conditions that have been treated and resolved prior to the institution of skin substitute therapy.""",,no,
3.2,"3 · Infection, Circulation & Systemic Status","Adequate circulation/oxygenation, as evidenced by physical examination (e.g., ABI ≥ 0.60, toe pressure > 30 mmHg)",L35041,"""Have adequate circulation/oxygenation to support tissue growth/wound healing as evidenced by physical examination (e.g., Ankle-Brachial Index [ABI] of no less than 0.60, toe pressure greater than 30 millimeters of mercury [mmHg]).""",,no,
3.3,"3 · Infection, Circulation & Systemic Status",IF DFU: Type 1 or 2 diabetes documented WITH evidence of medical management,L35041,"""For diabetic foot ulcers, the patient's medical record reflects a diagnosis of Type 1 or Type 2 Diabetes and also reflects medical management for this condition.""",,no,
3.4,"3 · Infection, Circulation & Systemic Status","EXCLUSION — uncontrolled diabetes, OR active Charcot arthropathy of the ulcer extremity, OR vasculitis",L35041,"""…contraindicated…in patients with inadequate control of underlying conditions or exacerbating factors (e.g., uncontrolled diabetes, active infection, and active Charcot arthropathy of the ulcer extremity, vasculitis or continued tobacco smoking without physician attempt to affect smoking cessation).""",,no,
3.5,"3 · Infection, Circulation & Systemic Status","EXCLUSION — known hypersensitivity to any product component (e.g., avian, bovine, porcine, equine)",L35041,"""…contraindicated in patients with known hypersensitivity to any component of the specific skin substitute graft (e.g., allergy to avian, bovine, porcine, equine products).""",,no,
4.1,4 · Tobacco,IF tobacco user: documented cessation ≥4 wks OR documented cessation counseling + prescribed measures. (Active use with no physician cessation attempt = contraindication.),L35041,"""…continued tobacco smoking without physician attempt to affect smoking cessation."" + ""Ideally patients who have smoked will have ceased…for at least 4 weeks…Documentation of smoking cessation counseling and cessation measures prescribed, if applicable, must also be documented…""",,no,
5.1,5 · Physician & Program Oversight,"Patient under care of a state-licensed physician (full scope) for the etiologic systemic disease; physician identity in record + COND(split-provider): IF the provider performing the CTP application is not the provider managing the systemic condition, THEN the record must contain (a) an affirmative statement that the applying provider is aware of the systemic condition, and (b) the named managing physician.",L35041,"""Patients receiving a skin substitute graft must be under the care of a physician licensed by the state with full scope of practice…the identity of the managing medical physician shall be clearly discernable in the medical record…"" + (new revision) ""If the provider performing the CTP graft/application is not the one providing the treatment for the systemic condition then a statement in the documentation that (s)he is aware of the systemic condition and that the patient is under the care of Doctor _____."" [Refinement candidate — confirm with SME whether current 5.1 already implies this before encoding.]",,no,
5.2,5 · Physician & Program Oversight,"Skin substitute used within a comprehensive, organized wound management program, documented",L35041,"""…reimbursement may be made only when the medical record clearly documents that these products have been used in a comprehensive, organized wound management program.""",,no,
5.3,5 · Physician & Program Oversight,"Product has FDA clearance/approval/PMA/510(k)/HDE or 361 HCT/P exemption, AND used per its individual application guidelines",L35041,"""All products with U.S. Food and Drug Administration (FDA) clearance/approval or designated 361 HCT/P exemption used in accordance with that product's individualized application guidelines…may be considered reasonable and necessary.""",,no,
6.1,6 · Concurrent / Combination Therapy,EXCLUSION — combination therapy with any other bioengineered skin substitute / CTP,L35041,"""…combination therapy with any bioengineered skin substitute (CTP) will be considered not reasonable and necessary.""",,no,
6.2,6 · Concurrent / Combination Therapy,"EXCLUSION — autologous PRP used in combination with the skin substitute is not R&N. (Precedence: this seam is governed by NCD 270.3, which outranks the LCD here. Per 270.3, autologous PRP has its own coverage as a standalone therapy — covered for chronic non-healing diabetic wounds for 20 weeks when prepared by an FDA-cleared device; venous and >20-week cases left to MAC discretion. So PRP standalone is NOT auto-excluded; only PRP combined with the skin substitute triggers this exclusion for the skin-graft claim.)",L35041 (seam) + NCD 270.3 (controls),"L35041: ""Autologous Platelet Rich Plasma (PRP) systems…is not considered reasonable and necessary except as described in…NCD…270.3."" + ""combination therapy with any bioengineered skin substitute (CTP) will be considered not reasonable and necessary."" / NCD 270.3: ""CMS will cover autologous PRP for the treatment of chronic non-healing diabetic wounds…for a duration of 20 weeks, when prepared by devices whose [FDA]-cleared indications include the management of exuding cutaneous wounds.""",,no,
7.1,7 · Utilization Limits,≤ 10 applications per wound within a 12-week episode (across all products),L35041,"""…not to exceed 10 applications or treatments. In situations where more than one specific product is used, it is expected that the number…will still not exceed 10.""",,no,
7.2,7 · Utilization Limits,EXCLUSION — more than one product applied to the same wound simultaneously,L35041,"""Simultaneous use of more than one product for the episode of wound is not covered. Product change within the episode…is allowed, not to exceed the 10 application limit…""",,no,
7.3,7 · Utilization Limits,Within the first 12 weeks of the episode (separately billed use beyond 12 wks for a single wound is non-covered),L35041,"""Treatment of any chronic skin wound will typically last no more than twelve (12) weeks. Separately billed repeated use…after 12 weeks for a single wound or episode is non-covered.""",,no,
7.4,7 · Utilization Limits,EXCLUSION — a previous full course for this wound was unsuccessful (no improvement 4 wks past start; increased or unchanged),L35041,"""Repeat or alternative applications…are not considered medically reasonable and necessary when a previous full course of applications was unsuccessful. Unsuccessful treatment is defined as increase in size or depth…or no change…for a period of 4 weeks past start of therapy.""",,no,
7.5,7 · Utilization Limits,EXCLUSION · COND(DFU/VLU) — re-treatment of the same ulcer within 1 year of a prior course,L35041,"""Re-treatment within one (1) year of any given course of skin substitute treatment for a venous stasis ulcer or (diabetic) neuropathic foot ulcer is considered treatment failure and does not meet reasonable and necessary criteria…""",,no,
7.6,7 · Utilization Limits,EXCLUSION — wound effectively healed (> 75% size reduction AND now < 0.5 cm²),L35041,"""Retreatment of healed ulcers, those showing greater than 75% size reduction and smaller than 0.5 square cm, is not considered medically reasonable and necessary.""",,no,
8.1,8 · Documentation (necessity-supporting),"Wound measurements at (a) baseline pre-conservative-care, (b) completion of ≥4 wks conservative care, (c) immediately before each placement",L35041,"""Documentation of response requires measurements of the initial ulcer, measurements at the completion of at least four weeks of appropriate wound care and measurements immediately prior to placement and with each subsequent placement…""",,no,
8.2,8 · Documentation (necessity-supporting),Wound response documented ≥ every 30 days through the episode,L35041,"""…it is expected that the wounds response to treatment will be documented in the medical record at least once every 30 days for each episode of wound treatment…""",,no,
8.3,8 · Documentation (necessity-supporting),"Pre-service record explains why care failed (>4 wks), lists specific failed interventions, updated meds & medical problems, planned procedure & product, risks/complications discussed",L35041,"""Documentation (in the pre-service record) specifically addressing circumstances as to why the wound has failed…must reference specific interventions that have failed…updated medication history, review of pertinent medical problems…explanation of the planned skin replacement surgery with choice of skin substitute graft product. The procedure risks and complications should also be reviewed and documented.""",,no,
9.1,9 · Claim-time / coding rules (OUT OF SCOPE for in-room engine — for the billing phase),Repeat surgical wound-prep service billed with subsequent application codes,L35041,"""Repeat use of surgical preparation services in conjunction with skin substitute application codes will be considered not reasonable and necessary. It is expected that each wound will require…wound preparation code at least once at initiation…""",,no,
9.2,9 · Claim-time / coding rules (OUT OF SCOPE for in-room engine — for the billing phase),Non-graft dressing (gel/powder/ointment/foam/liquid) or injected skin substitute billed separately with application codes,A54117,"""Non-graft wound dressings or injected skin substitute codes are not used with skin replacement surgery application codes and are considered incorrect coding. Such products are bundled…and not separately payable.""",,no,
9.3,9 · Claim-time / coding rules (OUT OF SCOPE for in-room engine — for the billing phase),"Wastage documentation (date/time/location, product & supply format, amount used, amount discarded, reason, lot/batch #) for JW-modifier billing",L35041 + A54117,"""The amount of utilized and wasted skin substitute must be clearly documented in the procedure note with the following minimum information: Date, time and location…Name…how product supplied; Amount…used; Amount…discarded; Reason…; Manufacturer's serial/lot/batch…""",,no,
